Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
49,Male,PhD,Divorced,72799,688,45713,Business,Unemployed,19,Poor,0.154313296,120228,0,Port Elizabeth,AS,Cyprus,2,2,Low
21,Non-binary,Master's,Single,55687,600,36623,Home,Employed,8,Fair,0.362398017,180700,3,South Scott,OK,Luxembourg,3,2,Medium
59,Male,Bachelor's,Single,26508,622,26541,Personal,Unemployed,2,Excellent,0.454964381,157319,3,Robinhaven,PR,Uganda,4,2,Medium
42,Non-binary,Master's,Single,116212,707,24771,Home,Employed,11,Excellent,0.114133748,212198,3,Matthewborough,NH,French Guiana,0,2,Medium
55,Male,High School,Married,70978,706,36970,Personal,Unemployed,19,Excellent,0.266940909,54041,3,Christophermouth,MO,Tonga,1,0,Medium
56,Non-binary,PhD,Married,21084,702,22039,Personal,Employed,19,Fair,0.231046374,226053,2,East James,MP,Isle of Man,0,2,Medium
41,Male,PhD,Married,93133,791,14052,Business,Employed,13,Poor,0.282850057,82774,0,Lewisland,AZ,South Georgia and the South Sandwich Islands,1,0,Low
48,Non-binary,PhD,Married,46408,632,48403,Personal,Unemployed,16,Excellent,0.185325306,93647,3,South Jason,KS,Guyana,1,0,Low
47,Female,High School,Single,33065,783,6895,Auto,Self-employed,2,Fair,0.116680916,158428,3,West Sharon,AL,Seychelles,2,0,Low
21,Male,Bachelor's,Widowed,73952,631,49525,Auto,Unemployed,3,Excellent,0.143644091,32912,0,West Denisebury,KY,French Guiana,1,2,Low
65,Male,PhD,Widowed,77146,796,38386,Business,Self-employed,17,Fair,0.323186386,262145,0,Johnsonside,LA,Vietnam,4,1,Medium
39,Non-binary,PhD,Single,93509,703,16651,Auto,Unemployed,5,Fair,0.528582348,270036,0,North Joshuaborough,MI,Falkland Islands (Malvinas),0,0,Medium
36,Male,Bachelor's,Divorced,29868,635,12521,Auto,Employed,17,Excellent,0.350454133,240325,2,Wendyshire,ND,Dominica,4,0,Low
36,Female,Master's,Married,68776,612,47707,Personal,Unemployed,11,Fair,0.332396791,68491,0,Port Christopher,NY,Brunei Darussalam,1,1,Low
54,Female,Bachelor's,Married,98669,720,19464,Business,Unemployed,2,Poor,0.167904091,26571,0,Smithview,IA,French Polynesia,1,0,High
19,Non-binary,Master's,Single,112545,712,15503,Home,Unemployed,7,Poor,0.252172854,194154,0,Ibarraport,NJ,Zimbabwe,4,0,Low
44,Non-binary,PhD,Widowed,51280,750,22162,Home,Employed,11,Excellent,0.550130495,87579,3,East Danielmouth,AS,Haiti,1,2,Medium
65,Male,Master's,Divorced,106526,650,23161,Auto,Employed,19,Poor,0.544867397,98025,4,Richardbury,ID,Armenia,0,0,Low
36,Non-binary,Bachelor's,Widowed,37105,720,33259,Home,Employed,7,Fair,0.412777028,294048,2,Yvonneland,NY,Brunei Darussalam,3,1,Medium
39,Female,Master's,Widowed,100015,615,23114,Business,Unemployed,14,Poor,0.484642491,85309,0,New Meganshire,NV,French Polynesia,3,0,Low
50,Female,Master's,Divorced,96293,708,21552,Auto,Employed,3,Excellent,0.12939421,255942,4,Port Amy,FM,Egypt,0,1,Low
38,Non-binary,Bachelor's,Single,48069,670,17841,Home,Unemployed,17,Excellent,0.157519127,241550,2,Jacksonmouth,WA,Jordan,0,2,Low
35,Female,PhD,Married,72433,792,5747,Business,Self-employed,4,Good,0.327373935,112076,0,Andreaborough,NC,Thailand,3,2,Low
22,Non-binary,Master's,Widowed,65266,617,34746,Home,Unemployed,18,Poor,0.268944281,40215,4,Taylormouth,ND,Botswana,1,1,Low
40,Male,Master's,Widowed,98578,663,8747,Auto,Self-employed,1,Good,0.514670637,37396,0,Jacobview,WV,Russian Federation,0,1,Low
39,Male,High School,Married,90227,770,18079,Business,Employed,3,Poor,0.518758954,163838,1,South Brianna,GU,Mali,0,1,Low
31,Non-binary,High School,Divorced,107081,740,18101,Business,Employed,5,Poor,0.108793817,25157,2,Gordonbury,AL,Ukraine,1,2,Low
45,Female,High School,Widowed,82878,748,17023,Auto,Self-employed,19,Poor,0.584911257,192705,4,Penamouth,NH,Ethiopia,4,1,Low
19,Male,High School,Married,35817,731,44426,Home,Unemployed,1,Fair,0.505459747,20626,1,East Triciatown,WI,Angola,0,2,Low
36,Female,High School,Married,65104,699,44260,Home,Employed,2,Excellent,0.337761725,135458,4,Zacharyhaven,NM,Guatemala,2,2,Low
23,Male,Bachelor's,Single,28906,724,24532,Business,Unemployed,3,Poor,0.500613651,96640,2,Lake Evelynstad,CA,Monaco,0,0,Low
22,Male,Master's,Widowed,104766,764,16117,Business,Unemployed,17,Good,0.211525061,156630,3,New Shannonberg,KY,Gambia,3,1,Low
41,Female,Master's,Widowed,79556,742,5235,Home,Employed,5,Excellent,0.322356139,247857,0,Onealfurt,WA,Romania,4,0,Low
57,Male,Master's,Single,116102,629,31831,Home,Employed,16,Excellent,0.516362513,228018,4,Smithborough,IA,Palestinian Territory,2,0,Medium
52,Male,High School,Married,32094,634,17612,Home,Self-employed,17,Good,0.549456544,114375,2,West Robert,IA,Singapore,2,0,Medium
55,Non-binary,Master's,Widowed,108177,735,23616,Business,Employed,12,Fair,0.335284356,165613,2,Barneston,CA,Saint Pierre and Miquelon,1,2,Medium
41,Female,PhD,Widowed,96591,722,7260,Home,Employed,12,Fair,0.584494809,102681,0,New Shelby,KS,Lesotho,2,2,Medium
67,Male,Master's,Widowed,107366,655,20154,Home,Employed,9,Poor,0.416617868,108345,4,New Valerie,GA,Monaco,4,1,Low
60,Female,PhD,Married,74030,711,9459,Personal,Unemployed,19,Fair,0.160676888,96641,2,Lake Daniel,PW,Argentina,0,2,Low
39,Male,Master's,Divorced,56116,636,16578,Personal,Employed,12,Excellent,0.313107732,197835,1,Johnnyberg,NY,South Africa,1,0,Medium
64,Male,PhD,Single,101855,686,48584,Auto,Self-employed,9,Good,0.572524406,138039,3,East Keith,MS,El Salvador,3,1,Low
39,Non-binary,High School,Widowed,99622,720,23158,Auto,Employed,6,Good,0.419813928,65046,4,New Ashley,MN,El Salvador,2,1,Low
67,Male,PhD,Divorced,110896,689,11503,Business,Self-employed,9,Excellent,0.106251703,121360,0,New Russellfurt,HI,Jersey,2,0,Medium
28,Female,PhD,Single,64541,703,20017,Auto,Self-employed,1,Good,0.206311988,24856,4,Lake Keithtown,MO,Suriname,1,1,High
31,Female,PhD,Widowed,50885,669,18293,Home,Unemployed,7,Poor,0.258570035,99103,4,Margaretchester,KY,Mayotte,3,2,Low
48,Male,Master's,Divorced,107050,711,14382,Business,Self-employed,3,Excellent,0.502107966,142063,1,New Janet,CT,Samoa,1,1,Medium
35,Male,High School,Divorced,114877,699,46113,Business,Unemployed,6,Excellent,0.389906857,254153,0,Port Andreamouth,WV,Luxembourg,1,1,Medium
36,Female,Bachelor's,Divorced,44283,755,42326,Personal,Self-employed,7,Poor,0.116135309,228890,4,Turnerchester,NV,Micronesia,0,2,Low
59,Female,High School,Single,60385,743,30961,Business,Self-employed,19,Excellent,0.383779017,222830,4,Greenport,WV,Azerbaijan,2,0,Low
43,Female,Bachelor's,Single,29797,727,10640,Business,Self-employed,14,Excellent,0.509303064,89291,4,Frankport,NE,Austria,3,0,Low
39,Non-binary,Bachelor's,Divorced,31137,757,7326,Personal,Unemployed,9,Poor,0.441794267,68848,3,North Nathantown,MN,Indonesia,1,2,Medium
62,Female,PhD,Divorced,115923,726,37406,Personal,Self-employed,17,Good,0.287310878,154178,1,West Elizabethside,MA,Peru,2,1,High
22,Female,High School,Widowed,69738,727,15974,Auto,Self-employed,10,Good,0.387483457,238717,1,New Kathryn,OR,Norway,0,1,Low
37,Non-binary,PhD,Divorced,76795,645,33454,Personal,Self-employed,13,Excellent,0.508511242,40258,4,Andreaborough,NV,Bangladesh,3,0,Low
27,Non-binary,High School,Widowed,61232,643,46522,Business,Unemployed,6,Fair,0.151099075,285561,2,Villafurt,RI,Sao Tome and Principe,2,0,Low
65,Male,Master's,Single,89126,643,38741,Auto,Employed,0,Excellent,0.131449159,50589,1,New Julieside,AK,Martinique,4,0,High
66,Non-binary,PhD,Widowed,104677,784,24588,Home,Unemployed,9,Fair,0.304836002,50584,4,South Karen,NM,Finland,4,0,Low
27,Non-binary,Master's,Divorced,80523,604,13043,Auto,Employed,15,Excellent,0.112270249,201865,3,North Jessicachester,WY,Andorra,4,1,Low
37,Female,PhD,Single,20987,640,8042,Home,Employed,12,Fair,0.442812684,55772,3,Bradleyshire,NE,Falkland Islands (Malvinas),1,1,Low
26,Male,High School,Widowed,28583,611,29949,Personal,Employed,19,Excellent,0.200143793,139629,3,West Ashleyberg,KS,Libyan Arab Jamahiriya,2,0,Medium
21,Male,Bachelor's,Divorced,39330,769,27489,Home,Self-employed,14,Excellent,0.454610825,284455,3,Martinezmouth,PA,Costa Rica,0,2,Low
52,Non-binary,PhD,Divorced,111594,715,9174,Home,Unemployed,4,Good,0.100815126,137074,2,Victoriamouth,MN,Western Sahara,2,1,Low
27,Female,High School,Divorced,102789,742,10729,Business,Employed,17,Good,0.271307607,269293,0,Lauratown,AL,Vanuatu,1,0,Medium
47,Non-binary,High School,Married,28673,699,19540,Auto,Unemployed,19,Fair,0.408040672,255563,0,North Bonnie,MI,Mali,1,2,Medium
22,Female,Bachelor's,Widowed,35973,663,19492,Auto,Unemployed,2,Good,0.432494288,82006,3,Hartmanmouth,VI,Suriname,0,0,Medium
41,Male,Bachelor's,Single,62011,747,15722,Business,Employed,3,Poor,0.176553915,259195,2,Garrettton,MD,Romania,3,0,Medium
54,Male,Bachelor's,Married,114486,704,32353,Auto,Self-employed,7,Poor,0.400318279,222630,1,Jarviston,KY,Saint Pierre and Miquelon,1,1,Low
34,Female,Bachelor's,Single,42064,760,39482,Personal,Employed,0,Excellent,0.201900219,243318,0,Krystalberg,PA,Lesotho,3,2,Low
43,Female,PhD,Widowed,31231,712,48935,Personal,Employed,8,Good,0.10750652,277314,2,South Kent,CT,Pakistan,3,0,Medium
47,Male,Bachelor's,Married,85651,799,17157,Auto,Unemployed,2,Fair,0.541920866,200136,3,Matthewshire,RI,Grenada,3,0,Medium
45,Male,Bachelor's,Divorced,85839,686,29177,Business,Self-employed,11,Excellent,0.260055213,114053,0,Port Vickie,LA,New Caledonia,4,0,Low
20,Non-binary,Bachelor's,Single,109590,625,41449,Personal,Self-employed,16,Fair,0.519828253,114922,1,Annettemouth,PR,Cape Verde,4,2,Low
47,Non-binary,High School,Single,58217,658,15328,Business,Unemployed,11,Poor,0.525407258,169695,0,East Nicholas,NH,Angola,0,0,Medium
49,Non-binary,Bachelor's,Married,105916,750,6324,Personal,Unemployed,17,Poor,0.269984459,89195,2,New Phillip,SD,Peru,1,1,High
62,Non-binary,Master's,Single,74850,650,17324,Personal,Self-employed,14,Excellent,0.191276675,151244,0,New Catherineton,OR,Marshall Islands,0,2,Low
40,Male,Bachelor's,Single,90179,693,32825,Personal,Self-employed,5,Good,0.584147345,129600,3,Brownville,IL,Wallis and Futuna,4,1,Low
31,Male,High School,Married,34002,738,23618,Home,Unemployed,6,Fair,0.17305568,269695,3,Davismouth,AL,Peru,2,1,Low
48,Male,Master's,Divorced,37540,673,34317,Home,Employed,7,Poor,0.505902726,32715,4,New Sara,NE,Morocco,4,1,Medium
55,Non-binary,High School,Divorced,98283,650,42997,Auto,Unemployed,17,Fair,0.486638679,178174,4,East John,ID,Argentina,0,0,Low
65,Male,High School,Single,27826,736,43125,Auto,Employed,18,Good,0.253161468,118770,0,West David,FL,Iraq,3,1,Medium
54,Non-binary,Master's,Single,62296,744,23778,Business,Self-employed,1,Excellent,0.203052807,173854,0,Port Sandra,DE,Bulgaria,1,0,High
30,Non-binary,Master's,Widowed,114499,779,40584,Auto,Self-employed,6,Fair,0.284052614,76919,3,New Susan,AR,Mauritius,2,1,Low
19,Female,Bachelor's,Single,83471,793,8810,Personal,Self-employed,14,Excellent,0.511546796,145761,4,Baileystad,ND,Mauritania,1,0,Low
19,Female,Master's,Divorced,115381,727,40970,Auto,Self-employed,14,Good,0.451811592,291530,1,Hunterside,SC,Namibia,0,0,Low
43,Male,Master's,Divorced,81683,693,10316,Home,Employed,2,Good,0.351319135,28304,3,Dyerfort,MS,Holy See (Vatican City State),0,0,Low
25,Non-binary,Master's,Single,37330,797,28892,Personal,Unemployed,11,Excellent,0.45114276,247877,3,Keithberg,IL,Iraq,2,1,Medium
32,Female,PhD,Single,99688,732,12429,Home,Unemployed,8,Poor,0.430234003,267072,0,Port Sarahton,MI,North Macedonia,3,2,Medium
